episode,actor_loss,critic_loss,entropy
1,-0.1171,0.5577,1.5862
2,0.085,0.1905,1.5568
3,-0.1531,0.1529,1.5819
4,-0.0707,0.3507,1.5891
5,0.0985,0.2977,1.5567
6,-0.0124,0.2474,1.5358
7,-0.0652,0.2715,1.5259
8,0.072,0.2953,1.4666
9,-0.0434,0.3509,1.4094
10,0.118,0.4212,1.3407
11,0.0427,0.1743,1.3612
12,-0.1207,0.4748,1.3883
13,-0.0338,0.2698,1.3455
14,0.0738,0.0815,1.2546
15,0.1619,0.1403,1.2503
16,-0.0615,0.0515,1.1492
17,-0.0041,0.2906,1.1523
18,-0.1632,0.1387,1.0726
19,-0.0065,0.2374,1.1963
20,0.0371,0.1863,1.1787
21,0.1026,0.1766,1.1631
22,0.009,0.1057,1.176
23,-0.0163,0.4403,1.2843
24,-0.1721,0.3272,1.032
25,-0.0704,0.169,1.1115
26,-0.2485,0.3215,0.931
27,-0.2011,0.5502,1.07
28,-0.1274,0.2381,0.9245
29,-0.1519,0.3169,0.9768
30,0.2034,0.1808,1.0446
31,-0.0809,0.3831,1.0303
32,0.015,0.1768,1.0905
33,0.0292,0.1705,0.9242
34,0.1351,0.1566,1.1278
35,-0.088,0.1048,0.8994
36,0.036,0.119,1.0724
37,-0.1853,0.1533,1.0872
38,0.0896,0.1202,1.0338
39,-0.0665,0.1006,0.9046
40,0.0738,0.1538,1.2958
41,-0.1689,0.0314,1.0266
42,-0.1668,0.1933,1.0848
43,-0.06,0.0392,1.1343
44,0.0681,0.2473,1.1512
45,-0.0298,0.125,1.0901
46,0.1369,0.2424,1.3196
47,0.1358,0.1759,1.1405
48,-0.3421,0.2039,0.9297
49,-0.073,0.207,1.228
50,-0.2852,0.4963,1.1875
51,-0.1275,0.1379,1.1874
52,-0.0626,0.1181,1.1574
53,0.0612,0.3609,1.3498
54,-0.0574,0.1334,1.2012
55,-0.0514,0.1709,1.3011
56,0.0008,0.2448,1.3224
57,0.0495,0.1426,1.3646
58,-0.0733,0.3601,1.3962
59,-0.0724,0.1883,1.2901
60,-0.0613,0.1216,1.3076
61,0.2598,0.1057,1.4127
62,0.0669,0.2118,1.3379
63,-0.2603,0.149,1.1201
64,0.0986,0.1762,1.2024
65,0.1739,0.0521,1.2936
66,0.1246,0.1521,1.2878
67,-0.1747,0.1221,1.1659
68,-0.1106,0.1842,1.1183
69,-0.0258,0.07,1.2878
70,-0.0412,0.2671,1.2225
71,0.2081,0.0716,1.2055
72,0.1819,0.0604,1.3084
73,0.1946,0.2523,1.326
74,0.1361,0.106,1.1854
75,-0.1028,0.0496,1.1448
76,-0.1457,0.3244,1.2329
77,-0.0786,0.1292,1.1836
78,0.0921,0.0385,1.3401
79,0.0566,0.146,1.2962
80,0.01,0.1855,1.277
81,-0.0052,0.0333,1.1824
82,-0.1311,0.1539,1.1693
83,-0.0413,0.0392,1.253
84,0.0485,0.1381,1.2075
85,-0.1883,0.2219,1.2287
86,0.0446,0.2182,1.2158
87,-0.4457,0.366,1.1235
88,0.1198,0.1278,1.3113
89,-0.1237,0.2099,1.2116
90,-0.1864,0.203,1.1173
91,0.0383,0.092,1.2884
92,0.0547,0.2203,1.3123
93,-0.1262,0.3709,1.2429
94,-0.0448,0.1427,1.2152
95,-0.0824,0.1503,1.1857
96,0.1796,0.0739,1.346
97,0.0044,0.1059,1.2423
98,-0.0365,0.2317,1.3536
99,-0.0568,0.1028,1.3328
100,0.0547,0.0466,1.3333
101,-0.1447,0.028,1.0118
102,0.101,0.2295,1.3732
103,0.0139,0.0645,1.4028
104,-0.013,0.106,1.2605
105,-0.0153,0.09,1.3386
106,-0.1056,0.0402,1.202
107,-0.0392,0.1347,1.3105
108,-0.0638,0.1502,1.3002
109,-0.0591,0.1214,1.2213
110,-0.3078,0.0637,1.0628
111,-0.039,0.0702,1.1906
112,0.0301,0.0467,1.208
113,0.0255,0.3301,1.3623
114,0.0389,0.1116,1.0985
115,0.061,0.1629,1.307
116,0.0644,0.273,1.3508
117,-0.0606,0.1687,1.1674
118,0.1081,0.3193,1.3339
119,0.0392,0.1929,1.2927
120,-0.1524,0.103,1.1299
121,-0.2,0.0582,1.2465
122,0.0853,0.1876,1.3794
123,0.0778,0.211,1.4143
124,0.0186,0.1224,1.1547
125,0.1348,0.1577,1.2529
126,-0.1174,0.3293,1.2534
127,0.0189,0.3504,1.2657
128,-0.005,0.3466,1.2571
129,0.0969,0.0441,1.3341
130,-0.1608,0.1651,1.2544
131,-0.0474,0.1273,1.3365
132,-0.0368,0.1127,1.2338
