episode,return
10,-61.5316
20,-36.7533
30,-44.672
40,-26.8502
50,-81.6492
60,-58.4314
70,-32.9203
80,-35.1755
90,-26.8946
100,-76.6838
110,6.5279
120,-1.5288
130,-26.62
140,-29.5578
150,-7.3167
160,-24.5684
170,3.7293
180,31.8017
190,4.3374
200,-42.5813
210,-36.5985
220,-26.9986
230,-0.6173
240,-41.2802
250,-47.2118
260,10.799
270,-34.346
280,-64.6037
290,-70.056
300,-67.3538
310,-74.789
320,-50.6448
330,-91.0388
340,-47.4003
350,-44.4085
360,-33.2866
370,-72.6211
380,-68.0369
390,-59.0972
400,-73.0897
410,-56.2911
420,-51.8009
430,-62.6932
440,-53.7314
450,-27.6831
460,-9.6885
470,-30.2921
480,-17.4991
490,-41.2575
500,-33.3061
510,-18.9058
520,-38.8085
530,-23.9793
540,-12.3036
550,-19.5315
560,-13.9486
570,-19.2815
580,-12.0531
590,-44.8206
600,-41.7282
610,-8.2849
620,-25.296
630,-13.2205
640,-54.808
650,-46.1817
660,-53.0295
670,-62.6066
680,-32.7246
690,-56.8328
700,-70.5672
710,-36.9797
720,-41.395
730,-95.0
740,-95.0
750,-95.0
760,-95.0
770,-95.0
780,-95.0
10,-52.2369
