episode,actor_loss,critic_loss,entropy
1,-0.0164,1.7672,1.6082
2,-0.0161,1.5425,1.6084
1,-0.0161,6.6114,1.6083
2,-0.0161,1.3111,1.6082
3,-0.0161,3.5235,1.6082
4,-0.0161,10.6248,1.6082
5,-0.0161,6.5193,1.6083
6,-0.016,7.2563,1.6083
7,-0.0161,4.5807,1.608
8,-0.0161,3.9089,1.6084
9,-0.0161,1.2927,1.6084
10,-0.0161,2.2702,1.6084
11,-0.0161,1.2227,1.6083
12,-0.0161,3.6445,1.6084
13,-0.0161,5.4506,1.6083
14,-0.0161,8.5306,1.6084
15,-0.016,1.4303,1.6083
16,-0.0164,6.6819,1.6084
17,-0.0161,3.5115,1.6083
18,-0.0161,1.244,1.6082
1,2.3792,4.8927,1.6066
2,1.1912,1.2221,1.6075
3,1.8568,1.8537,1.6073
4,3.1387,7.298,1.6076
5,1.7068,1.8603,1.6072
6,2.1966,4.0436,1.6073
7,1.6469,3.2788,1.6067
8,2.8721,6.5214,1.6072
9,1.2878,1.8069,1.6077
10,2.4336,3.9064,1.6069
11,2.0674,2.766,1.607
12,1.7464,3.3835,1.6073
13,2.0628,3.8325,1.6071
14,1.2692,1.0448,1.607
15,2.1845,3.8584,1.6069
16,1.7953,2.8405,1.6071
17,1.6302,1.3575,1.607
18,1.9706,2.1247,1.6075
19,3.5288,9.2997,1.6073
20,2.0639,2.7481,1.6074
21,1.659,1.5013,1.6072
1,1.8936,2.6062,1.6084
2,1.2354,2.5315,1.6084
3,2.7364,6.4191,1.6084
4,1.5191,1.411,1.6084
5,2.61,6.499,1.6084
6,0.8099,1.2609,1.6083
7,-0.3024,5.1179,1.6084
8,1.6555,1.7695,1.6084
9,1.5166,1.4276,1.6084
10,1.7898,3.339,1.6084
1,3.0503,0.5105,1.5563
2,0.572,0.7001,1.5906
3,1.3155,1.4023,1.5919
4,2.0864,1.3524,1.5608
5,0.6157,0.407,1.5772
6,1.7339,1.4943,1.5699
7,-0.459,1.9619,1.5735
8,0.8556,1.6028,1.5517
9,45.3622,2.9175,1.5824
10,0.3931,1.5726,1.5763
11,-0.8626,5.4741,1.5697
12,-0.5183,0.4406,1.6004
13,-0.3696,5.6045,1.5443
14,-1.2108,10.4461,1.4689
15,-0.2735,2.229,1.5311
16,-2.215,6.0635,1.4465
17,-1.1708,2.6578,1.5188
18,-0.5183,5.4711,1.4683
19,0.5832,3.5643,1.5122
20,-0.2035,0.6682,1.5039
21,-0.955,10.5853,1.5221
22,-0.0839,1.3809,1.5195
23,-0.2129,1.5043,1.3684
24,-0.9504,33.537,1.3211
25,-4.4238,16.0947,1.2659
26,0.4672,2.3814,0.8098
27,74.5023,0.6219,1.3513
28,0.0962,2.1569,1.4855
29,8.5675,0.5323,1.4809
30,-0.8465,0.53,0.3222
31,-0.1946,2.7525,1.4524
32,-1.3335,1.1802,1.533
33,-0.5315,0.4409,1.4688
34,5.4449,1.7783,1.3178
35,-3.8619,42.4318,1.3439
36,-1.2144,3.974,1.4597
37,-0.9053,1.4199,1.4204
38,0.5119,1.655,1.5049
39,50.665,0.026,1.5305
40,-5.4959,0.0064,1.5445
1,1.8813,0.456,1.5652
2,3.6103,0.8856,1.5375
3,1.5406,1.2096,1.4517
4,3.0083,1.2722,1.5427
5,1.5072,0.5151,1.5175
6,1.3179,0.6385,1.533
7,-1.3381,3.0366,1.4542
8,-0.5285,1.8491,1.5124
9,0.9692,0.0579,1.5566
10,2.3999,0.2314,1.5777
11,0.9866,0.1947,1.5873
12,2.1077,0.2785,1.5124
13,1.2029,0.1362,1.4529
14,-1.616,1.9505,1.3637
15,18.7483,8.5035,1.4813
16,8.252,8.4468,1.5148
17,-0.5005,1.1151,1.4116
18,-1.9841,6.0342,1.3872
19,-1.4465,3.7203,1.2426
20,-0.9232,3.146,1.2654
21,-1.0593,1.1228,1.2737
22,0.6873,3.8198,1.2381
23,1.2351,2.6978,1.3174
24,-0.5264,0.3642,1.2531
25,-4.0826,13.8234,1.1134
26,59.2795,10.3165,1.4527
27,12.3519,0.8329,1.2215
28,0.3213,368.8574,1.4486
29,-2.0983,3.2318,1.3844
30,-3.3158,10.9593,1.3356
31,-6.8422,2.2848,1.4094
32,1.2599,3.5117,1.5185
33,-2.2956,0.8187,1.3777
34,-6.8471,10.8052,1.4122
35,-0.3025,2.5364,1.3561
36,-0.7909,0.8729,1.3888
37,-2.4946,13.1524,1.1983
38,-1.2259,2.895,1.1811
39,0.067,5.3117,0.9748
40,0.8474,3.8823,1.2271
41,-0.8342,2.7271,1.1309
42,1.612,7.162,1.3633
43,0.4978,0.7535,1.3624
44,-0.1412,0.1024,1.4178
45,-1.7763,8.6944,1.3515
46,0.2119,1.1539,1.1427
47,-0.6738,1.5578,1.3057
48,14.2974,1.5184,1.2412
49,-0.0334,0.0275,1.5832
50,10.7413,392.9671,1.1388
51,0.4476,2.3757,1.347
52,-0.3774,36.8638,0.9127
53,2.1107,1.2234,1.3304
54,-0.5213,11.6423,1.3139
55,-0.7491,0.0184,1.5914
56,-0.6571,1.0382,1.5865
57,-12.744,37.6421,1.1557
58,0.0962,0.8021,1.5743
59,0.9891,5.0694,1.3481
60,-1.7072,0.0317,1.3983
61,0.6688,0.398,0.5592
62,0.5434,0.1667,1.4284
63,-0.8922,0.4003,1.5022
64,-1.5596,0.4066,1.4067
65,-0.3997,0.0974,1.5161
66,-3.9486,1.3376,1.4697
67,-1.9969,0.0685,1.4968
68,-0.6733,0.1025,1.487
69,-0.4774,0.4659,1.545
70,0.2304,0.3533,1.4778
71,-1.9039,2.5719,1.5452
72,0.6251,2.6426,1.5258
73,-0.4762,0.1363,1.5086
74,-1.7043,0.0772,1.4645
75,-1.1247,0.1568,1.4437
76,-1.1414,1.4109,1.3695
77,-1.2448,0.0665,1.2616
78,-0.5639,0.6712,1.1008
79,-0.6178,0.1849,1.0169
80,0.5187,0.2271,1.1506
81,-0.3978,3.9887,0.8029
82,-1.3355,1.0237,0.9702
83,-1.3904,0.1059,0.9886
84,0.4161,0.4708,0.9917
85,-1.4351,3.7397,1.031
86,-0.8061,1.3925,1.0726
87,-0.8148,1.2984,0.9534
88,-0.5444,1.368,1.5096
89,-1.0624,0.0909,1.4815
90,-0.1618,1.7082,1.5123
91,-0.3245,1.4791,1.3918
92,1.0684,3.7791,1.3795
93,0.2859,1.8919,1.4543
94,-1.3092,3.8993,1.433
95,-0.0146,2.3689,1.3389
96,0.6889,3.322,1.0949
97,-0.1152,2.0798,1.2802
98,0.0858,0.8305,1.3345
99,0.9422,2.8649,1.3957
100,1.9622,3.725,0.3356
101,-0.6086,0.1175,1.0588
102,0.4392,0.9119,1.2975
103,-0.4037,2.6573,0.5142
104,-0.3818,23.933,0.9832
105,0.4429,1.2655,1.3895
106,0.3307,3.6922,0.7901
107,-0.6141,0.5867,1.4327
108,53.2289,250.1751,1.1833
109,0.5439,2.032,1.2118
110,0.4487,1.4681,1.3215
111,-2.2515,9.1304,1.1667
112,36.0515,3.0789,1.3612
113,-0.3699,0.4396,1.2099
114,-4.749,38.4896,1.0739
115,20.175,6.0829,1.477
116,3.7481,1.2085,1.5394
117,3.4002,3.0583,1.5168
118,2.1045,0.1049,1.5143
119,0.9684,34.7813,1.2004
120,1.7644,0.2595,1.4318
121,-2.8054,2.128,1.0115
122,1.5315,1.428,1.4239
123,0.9667,1.6779,1.4793
124,0.8251,2.0701,1.5019
125,5.0567,33.2848,0.9496
126,19.0067,2.6026,1.3677
127,7.5071,6.1012,1.3819
128,5.9685,238.8434,1.1656
129,0.1921,0.568,1.4165
130,-1.6346,1.332,1.5304
131,-3.6512,48.3447,1.3543
132,0.3733,1.0705,1.3721
133,1.6504,3.4253,1.4043
134,0.1923,1.439,1.5042
135,-1.9231,7.6038,1.3278
136,0.2678,1.3934,1.4986
137,0.3097,1.3713,1.3439
138,0.7439,2.2557,1.0267
139,3.5563,0.0676,1.5087
140,5.8321,0.5195,1.48
141,2.6609,0.1293,1.5072
142,2.0608,0.043,1.4623
143,1.6504,1.2895,1.4818
144,0.9121,0.0197,1.4113
145,1.7334,1.7531,1.5126
146,2.9993,0.4624,1.5498
147,-2.3353,0.0764,1.3936
148,1.2791,1.922,1.2624
149,1.5211,0.894,1.2857
150,1.0663,0.6146,1.553
151,0.7848,1.3644,1.552
152,0.0921,1.3087,1.5612
153,-0.2676,1.723,1.453
154,0.9635,3.0247,1.3302
155,1.1737,3.6317,1.3862
156,0.051,1.5175,1.5627
157,1.6614,4.7911,1.489
158,-2.8068,0.06,1.5119
159,0.1176,0.0234,1.433
160,-0.1652,0.0719,1.5583
161,-0.4452,0.1004,1.5524
162,-0.6075,0.1442,1.5916
163,1.38,9.1743,1.3909
164,-1.746,0.3953,1.5785
165,-3.3248,1.8493,1.301
166,-10.8282,2.9868,1.2405
167,-2.3214,0.5297,1.485
168,-0.3671,0.0488,1.4296
169,-0.3835,0.4683,1.3488
170,1.3917,0.6681,1.3622
171,-1.2698,5.5089,1.2787
172,-0.3464,0.2317,1.144
173,-1.3154,1.4219,1.2624
174,0.4966,0.3892,1.4492
175,0.595,0.4697,1.3459
176,-1.1954,0.275,1.336
177,37.1553,12.7822,1.3514
178,-6.0605,3.0483,1.2034
179,-3.5809,0.1982,1.1929
180,-0.9088,0.7174,1.2416
181,-0.5314,1.5483,1.2219
182,0.3861,0.2434,1.0767
183,0.646,0.0684,1.1018
184,-1.6061,0.2138,1.2109
