episode,return
10,-22.0057
20,-30.4748
30,-45.2411
40,-95.0
50,-52.2393
60,-95.0
70,-36.9939
80,4.06
90,-48.2162
100,-56.9038
110,-4.5858
120,-3.8374
130,-47.9243
140,-35.759
150,-70.2725
160,-23.0006
170,-58.1251
180,-58.1781
190,-60.7843
200,-27.2934
210,-59.2682
220,-23.833
230,-60.3932
240,-58.7111
250,-81.8381
260,-81.3433
270,-80.115
280,-81.5582
290,-60.0109
300,-70.6485
310,-30.2082
320,-83.1603
330,-64.0262
340,-55.1774
350,-64.5558
360,-84.2263
370,-53.0883
380,-84.3704
390,-84.9782
400,-79.8923
410,-37.1929
420,-83.8239
430,-83.4621
440,-62.588
450,-79.8629
460,-40.3232
470,-81.7312
480,-18.2457
490,-45.6036
500,-49.401
510,-44.5975
520,-61.1117
530,-83.8992
540,-65.7581
550,-81.5939
560,-82.4924
570,-60.2554
580,-64.4177
590,-78.6262
600,-8.7472
610,-79.0117
620,-82.6567
630,-64.6687
640,-66.5837
650,-43.0463
660,-58.3991
670,-80.4488
680,-64.0274
690,-0.2478
700,-81.4723
710,-62.9494
720,-81.1454
730,-65.7311
740,-66.4636
750,-53.4486
760,-82.9505
770,-65.4225
780,-45.4402
790,-58.0535
800,-47.3256
810,-83.8545
820,-67.37
830,-81.7766
840,-67.5603
850,-64.9222
860,-30.9344
870,-36.1003
880,-62.3365
890,-60.2343
900,-79.874
910,-82.0519
920,-82.6807
930,-57.8361
940,-38.8733
950,-13.9034
960,-81.9887
970,-66.3994
980,-80.5183
990,-35.1243
1000,-66.1287
1010,-82.4795
1020,-37.1032
