episode,actor_loss,critic_loss,entropy
1,-0.027,4.323,1.5986
2,-0.0015,10.04,1.5722
3,0.0474,8.9461,1.5854
4,0.035,14.8919,1.5457
5,0.1591,19.4392,1.4046
6,-0.0829,16.5139,1.3994
7,0.0078,35.8,1.3737
8,0.042,29.1551,1.432
9,0.158,34.0842,1.2174
10,-0.2009,92.6059,1.1658
11,-0.1462,56.21,1.2582
12,0.1929,128.3687,1.1613
13,0.0812,107.5853,1.319
14,0.311,30.2153,1.0457
15,0.0366,48.4137,0.9482
16,0.185,145.9463,1.0674
17,0.2637,67.5374,0.9237
18,-0.1269,130.8574,0.9565
19,0.1763,131.9149,0.772
20,-0.0695,119.7495,0.562
21,0.0133,133.7943,0.5421
22,-0.332,142.1586,0.4492
23,-0.1672,75.783,0.474
24,0.1258,39.2577,0.537
25,-0.0392,10.3843,0.2201
26,-0.1525,33.3908,0.4173
27,0.2994,4.3018,0.3881
28,-0.0438,8.4019,0.5092
29,-0.042,13.9473,0.4497
30,0.1731,7.9135,0.2838
31,-0.1664,32.4963,0.4352
32,-0.1585,40.6807,0.4424
33,0.2169,22.7169,0.5985
34,-0.2119,107.2136,0.3638
35,0.0014,68.0562,0.4791
36,0.4014,2.7849,0.0029
37,-0.2596,0.6877,0.0201
38,0.1793,40.0876,0.1545
39,0.2102,44.5343,0.2278
40,0.052,37.3078,0.108
41,-0.4435,272.881,0.0316
42,0.019,73.2028,0.0966
43,-0.0707,1.0627,0.0421
44,-0.1161,1.6624,0.0526
45,0.2279,0.098,0.0064
46,-0.0232,187.7259,0.1489
47,0.1295,0.2238,0.0001
48,0.2419,59.5673,0.0787
49,0.1687,16.959,0.01
50,-0.1411,326.2422,0.0449
51,0.1433,15.1845,0.1413
52,0.0385,23.8568,0.1294
53,0.1881,0.5461,0.0001
54,-0.0858,92.2579,0.1192
55,0.1342,10.7327,0.1284
56,0.031,3.2965,0.5349
57,-0.1835,36.6138,0.1445
58,0.0206,12.3241,0.0566
59,0.3329,36.6958,0.3492
60,-0.0874,0.565,0.0156
61,0.1831,9.6523,0.0159
62,-0.2115,0.1411,0.0046
63,-0.0842,0.2668,0.0059
64,-0.0807,121.7394,0.0886
65,-0.0499,0.4454,0.1608
66,1.4936,0.8203,0.5935
67,-0.1364,348.1549,0.2818
68,0.2119,18.4111,0.3227
69,-0.0854,7.5802,0.3283
70,0.0895,278.3236,0.4307
71,-0.142,4.9861,0.4669
72,0.1151,7.4144,0.3113
73,0.2482,25.8778,0.3687
74,-0.0467,4.1181,0.4848
75,-0.286,192.1117,0.456
76,0.0009,160.8728,0.267
77,-0.4676,326.2076,0.2702
78,0.1726,10.4599,0.5259
79,0.1025,3.9225,0.562
80,0.0809,27.5396,0.2061
81,-0.3494,378.6223,0.186
82,0.271,37.9646,0.2216
83,0.0638,50.3436,0.1178
84,-0.3571,256.7376,0.1451
85,0.0979,160.1935,0.1882
86,0.1671,83.7129,0.2016
87,-0.1043,12.2417,0.2608
88,0.2163,140.4295,0.3907
89,-0.0488,15.9859,0.4856
90,0.2419,96.4142,0.4376
91,-0.0896,51.188,0.5928
92,-0.0705,189.511,0.5407
93,0.0743,245.5697,0.2744
94,0.0096,92.3937,0.633
95,0.2368,32.8213,0.3531
96,0.1546,17.9601,0.4554
97,-0.0501,245.7406,0.6009
98,0.0223,20.6459,0.4989
99,-0.1243,296.0652,0.5709
100,0.0506,18.9139,0.418
101,0.1581,184.8304,0.1871
102,0.2466,62.6655,0.3892
103,0.0001,95.0192,0.3317
104,0.0745,37.1953,0.3009
105,-0.0239,32.4466,0.345
106,0.1897,18.0914,0.269
107,-0.1408,317.8175,0.2004
108,-0.1008,288.5867,0.3009
109,-0.3212,141.0123,0.6299
110,-0.0044,97.7362,0.5522
111,0.0919,12.3773,0.6658
