episode,actor_loss,critic_loss,entropy
185,0.0414,110.5523,0.9522
186,-0.0795,105.8197,1.0411
187,0.2502,92.9602,0.9183
188,0.0222,131.009,1.0618
189,0.0227,78.259,0.8754
190,-0.0426,157.0192,0.9039
191,-0.0128,111.6455,0.9846
192,0.0009,152.473,0.9669
193,-0.1578,126.6728,0.9048
194,0.0804,44.2519,0.8696
195,-0.2052,82.9486,0.9428
196,-0.0362,127.6313,0.9314
197,-0.1636,115.1513,0.8086
198,-0.0081,71.7135,0.9134
199,0.0872,98.9457,0.8868
200,-0.02,60.7557,0.8521
201,0.0508,77.0179,0.8382
202,-0.1989,187.8064,0.8113
203,-0.1644,218.7885,0.8483
204,-0.123,114.4033,0.9353
205,0.0622,99.9861,0.9073
206,0.0408,131.6068,0.9215
207,0.0362,77.9273,0.8817
208,-0.0922,99.4589,0.9873
209,0.0803,91.8142,0.9658
210,0.0197,65.1849,1.0003
211,0.0114,98.3979,0.8811
212,0.1043,129.1823,0.8678
213,-0.024,145.0408,1.0046
214,-0.1625,71.9556,1.0675
215,-0.0246,100.982,1.1082
216,-0.1215,97.5587,0.9541
217,-0.1367,122.1893,0.9297
218,0.0018,114.4921,0.7231
219,0.0172,107.1382,0.8763
220,-0.1555,129.5782,0.9022
221,-0.2022,122.2188,0.8331
222,0.2295,109.3145,0.7328
223,-0.0299,92.1719,0.8522
224,0.0577,67.2336,1.0898
225,-0.0841,74.4461,0.97
226,-0.1596,123.3196,1.045
227,0.041,110.9837,1.057
228,0.0124,98.1923,0.9978
229,-0.2384,85.0843,0.969
230,0.0466,84.6883,1.0804
231,-0.1039,55.8638,1.0841
232,-0.0014,63.7877,1.1987
233,-0.0253,80.1093,0.9719
234,0.0797,54.132,1.0402
235,0.0413,59.6434,1.0674
236,-0.175,73.0827,0.8487
237,0.2186,43.0024,1.0138
238,-0.1262,62.9126,0.9084
239,0.0558,74.7192,0.8671
240,-0.2394,103.5225,0.9695
241,0.1026,92.3218,0.7928
242,0.1827,81.0219,0.8421
243,0.0265,73.9457,0.7172
244,0.0845,84.0077,0.8948
245,-0.0676,93.5293,0.9358
246,-0.0812,73.2133,0.7704
247,-0.0537,67.5189,0.4872
248,0.0553,74.1882,0.6028
249,0.1235,62.6703,0.7058
250,-0.1116,92.1117,0.8175
251,0.2267,76.436,0.7906
252,-0.0541,72.6714,0.6811
253,0.1258,91.9016,0.678
