episode,return
10,90.6476
20,95.1447
30,95.6638
40,98.7102
50,68.0261
60,26.061
70,26.0361
80,118.7276
90,41.3249
100,38.3236
110,31.0164
120,13.0443
130,-3.0855
140,3.8041
150,71.8994
160,63.8602
170,54.9564
180,67.679
190,64.3431
200,77.8875
210,-11.8519
220,-22.9743
230,79.5924
240,75.0602
250,98.2606
260,55.4003
270,132.4355
280,79.676
290,63.6188
300,-25.2259
310,50.6201
320,24.3382
330,36.4434
340,29.6415
350,37.0473
360,50.4831
370,24.9498
380,12.8321
390,8.9219
400,44.7462
410,68.7221
420,25.7139
430,27.8296
440,-27.6293
450,-38.1717
460,-27.6934
470,28.3574
