episode,actor_loss,critic_loss,entropy
1,0.0548,225.0979,1.0476
2,0.1564,206.6692,1.2093
3,0.0861,113.6,1.2798
4,-0.1714,123.8338,1.3388
5,-0.1662,91.3167,1.3269
6,-0.0334,111.6046,1.395
7,0.3066,73.145,1.3945
8,-0.2027,81.577,1.1838
9,0.0182,71.494,1.2506
10,0.0292,51.3075,1.3419
11,-0.0782,89.867,1.1563
12,0.1269,64.5636,1.1406
13,0.1008,64.021,1.2495
14,-0.1488,63.4218,1.2233
15,-0.0169,76.3929,1.1035
16,0.0493,107.2485,1.0266
17,-0.2238,66.9273,0.9471
18,-0.0795,113.2213,0.9136
19,-0.3702,130.7056,0.731
20,-0.4704,124.9131,0.7859
21,-0.104,73.6912,0.8428
22,-0.0765,89.6426,0.8899
23,0.2329,88.4856,1.029
24,0.0596,80.9958,0.9477
25,0.0232,45.1482,1.0332
26,0.0935,82.0677,0.895
27,0.1609,95.5748,0.9221
28,0.2424,123.9477,1.0134
29,-0.0657,152.2167,1.1785
30,0.2368,67.6595,1.1998
31,0.2575,194.2665,1.1173
32,-0.407,126.8913,1.0769
33,-0.249,64.9117,0.7623
34,-0.0905,97.7688,0.9329
35,-0.0699,133.3824,1.0592
36,0.1494,135.3026,1.0688
37,0.0418,112.4222,0.9238
38,-0.1757,100.8539,1.0457
39,-0.0949,59.0104,1.0254
40,0.2216,78.3552,1.1491
41,0.2425,100.8687,1.1578
42,0.1063,98.6277,1.2641
43,-0.1426,49.8748,1.1988
44,0.0562,54.1897,1.2697
45,0.0641,52.3208,1.2294
46,-0.1416,63.7784,1.2409
47,-0.1093,81.8752,1.2843
48,-0.097,96.6682,1.2887
49,0.1345,52.2168,1.3673
50,0.0269,64.5373,1.3613
51,0.1249,60.9557,1.1979
52,-0.0064,60.028,1.2678
53,-0.1073,172.0994,1.0619
54,-0.0307,93.2767,1.1494
55,-0.1177,151.4143,1.0124
56,0.0379,64.9685,1.2263
57,0.1806,154.111,1.1331
58,-0.2275,93.0503,1.1005
59,-0.3499,194.2132,1.3119
60,0.0224,165.8601,1.2715
61,-0.2102,118.0724,1.2216
62,-0.0123,167.9261,1.1601
63,0.1705,117.7963,1.1429
64,0.164,80.9795,1.1885
65,-0.2478,54.3517,1.3392
66,-0.1609,25.4706,1.2592
67,0.0923,38.3694,1.2305
68,0.1889,62.6645,1.177
69,-0.3586,64.337,1.2891
70,0.0111,54.4224,1.1598
71,-0.0201,42.5296,1.1207
72,0.0258,62.9303,1.0468
73,0.3085,45.5152,1.0157
74,0.1431,38.0848,1.1089
75,-0.2066,29.5229,1.2418
76,-0.1399,68.0905,1.1926
77,0.1151,38.9352,1.1203
78,-0.157,70.9201,1.0341
79,-0.1307,86.8332,1.0343
80,0.0921,40.5574,1.0273
81,0.1841,63.401,1.2291
82,-0.1364,91.082,1.1988
83,0.1618,42.532,0.9339
84,-0.2535,180.2879,0.9279
85,0.3343,49.1582,0.9354
86,0.2804,59.1918,0.8906
87,-0.0742,131.0642,0.7836
