episode,return
10,-64.603
20,-24.5221
30,-58.4275
40,-38.2164
50,-70.0931
60,-46.7966
70,-73.647
80,-76.1003
90,-20.1037
100,-60.2815
110,-71.902
120,-71.9238
130,-58.9219
140,-68.1746
150,-52.5068
160,-46.9531
170,16.5131
180,-4.7302
190,-9.4259
200,-50.8716
210,11.8094
220,-32.8479
230,0.3948
240,17.6594
250,0.6401
260,-3.1487
270,-10.4276
280,-2.6876
290,-9.0223
300,9.8373
310,-2.7082
320,-20.6326
330,5.3954
340,16.1828
350,17.6612
360,-3.8442
370,-24.0144
380,-33.7453
390,-25.3438
400,-14.4761
410,-5.202
420,-5.759
430,11.7092
440,-11.0613
450,-14.146
460,0.29
470,10.6709
480,11.1742
490,-8.6859
500,-44.7998
510,-13.4926
520,-6.7337
530,-47.575
540,-13.8691
550,-50.3701
560,2.4367
570,-0.9246
580,30.9988
590,-15.2104
600,-18.6262
610,3.8716
620,-17.9377
630,-34.8535
640,21.1612
650,10.0942
660,11.401
670,15.1211
680,-51.1217
690,-28.7454
700,-6.1685
710,-12.3887
720,-18.8374
730,-35.6773
740,-16.467
750,6.0193
760,14.4938
770,-26.9138
780,15.7184
790,-31.7223
800,-35.9578
810,0.634
820,-19.87
830,17.4536
840,-21.3734
850,7.2364
860,-22.0401
870,-15.4342
880,-19.6979
890,-20.4238
900,-16.3729
910,-3.7372
920,-6.0031
930,-4.5801
940,-15.2558
950,-15.2791
960,-2.3706
970,7.3432
980,65.7672
990,3.7579
1000,23.2411
1010,7.7217
1020,27.448
1030,10.763
1040,43.5372
1050,39.4612
1060,27.8355
1070,3.8834
1080,68.8548
1090,47.2336
1100,30.9871
1110,-1.5132
1120,-17.1016
1130,-27.1407
1140,-19.7205
1150,-25.5231
1160,-32.0749
1170,-26.5868
1180,-38.7649
1190,-23.6833
1200,-29.1918
1210,-9.4029
