episode,actor_loss,critic_loss,entropy
1,0.1228,0.3396,1.595
2,0.0007,0.2537,1.5623
3,0.1246,0.2328,1.5477
4,0.0359,0.1856,1.5357
5,0.3221,0.2693,1.5332
6,0.0069,0.0576,1.5261
7,-0.1043,0.1381,1.4599
8,-0.0457,0.1629,1.3827
9,-0.0218,0.4045,1.2736
10,-0.0664,0.2154,1.3866
11,-0.1386,0.6709,1.2808
12,-0.2128,0.1631,1.0989
13,0.1979,0.4878,1.2561
14,-0.0294,0.2745,1.1743
15,-0.0662,0.1258,0.9702
16,0.0638,0.1747,1.0643
17,-0.0871,0.1208,1.122
18,-0.1926,0.1814,1.0803
19,-0.1496,0.1317,1.0702
20,-0.108,0.1481,1.2267
21,-0.161,0.2588,1.0208
22,0.0005,0.1688,1.0503
23,0.2593,0.1068,1.0895
24,-0.1556,0.118,1.1085
25,-0.2531,0.2192,1.048
26,0.0461,0.0836,1.2862
27,-0.0782,0.2059,1.1752
28,0.0161,0.1836,1.2083
29,-0.2536,0.0921,1.1668
30,0.1505,0.2845,1.2604
31,-0.0855,0.1809,1.1187
32,0.0765,0.2884,1.1963
33,0.0196,0.2125,1.2833
34,-0.1723,0.1922,1.1526
35,-0.2598,0.2138,1.1946
36,-0.0677,0.0363,1.2304
37,-0.0047,0.0327,1.2447
38,-0.0613,0.2886,1.3048
39,-0.152,0.3024,1.3295
40,-0.007,0.0847,1.2806
41,0.1449,0.0842,1.3501
42,-0.034,0.0531,1.2201
43,-0.1254,0.0562,1.023
44,0.104,0.069,1.2072
45,-0.1202,0.156,1.0999
46,-0.0497,0.0614,1.0397
47,-0.2407,0.1684,1.1446
48,-0.2391,0.2847,1.0623
49,-0.0489,0.2212,1.0816
50,0.0908,0.0429,1.1754
51,-0.183,0.1918,1.0457
52,-0.0369,0.0896,1.1745
53,0.0039,0.3951,1.1805
54,-0.0956,0.05,1.0399
55,0.0531,0.1804,1.1901
56,-0.0669,0.1667,0.9095
57,-0.0187,0.0889,0.9752
58,-0.307,0.1563,0.9629
59,-0.1786,0.4131,1.0953
60,-0.0957,0.0732,0.9789
61,-0.0755,0.073,1.073
62,-0.0538,0.1609,1.1721
63,0.0791,0.1377,1.2518
64,0.1134,0.2245,1.2647
65,0.0811,0.1161,1.2165
66,0.0504,0.0919,1.2128
67,0.215,0.0599,1.3189
68,-0.1222,0.0795,1.1318
69,-0.0668,0.0907,1.212
70,-0.0931,0.0831,1.1364
71,0.0376,0.1412,1.218
72,0.0346,0.1719,1.1763
73,0.0224,0.2605,1.2222
74,0.0804,0.177,1.3511
75,-0.0081,0.3458,1.3464
76,-0.1678,0.1957,1.1523
77,-0.063,0.2745,1.3006
78,0.0942,0.1781,1.2616
79,-0.094,0.109,1.221
80,-0.0558,0.2045,1.3648
81,-0.1532,0.2877,1.3183
82,-0.0616,0.1675,1.3137
83,-0.0378,0.1574,1.3617
84,-0.0982,0.0728,1.3687
85,-0.3553,0.0853,1.1367
86,0.0435,0.2935,1.3465
87,0.0832,0.0633,1.2317
88,-0.0954,0.1115,1.2385
89,0.0966,0.247,1.4548
90,-0.2584,0.1958,1.2281
91,-0.0303,0.1119,1.2003
92,0.0372,0.1833,1.274
93,0.1533,0.1624,1.319
94,0.1556,0.2315,1.2897
95,0.1842,0.1199,1.2734
96,-0.165,0.1947,1.1638
97,0.1819,0.0567,1.1578
98,-0.0013,0.2286,1.1426
99,-0.0578,0.1155,1.04
100,-0.0548,0.1041,1.2004
101,0.059,0.1311,1.1342
102,-0.0618,0.038,1.1397
103,0.0316,0.1,1.2791
104,-0.0614,0.3716,1.1911
105,-0.0168,0.0685,1.1653
106,-0.0138,0.0812,1.135
107,0.0151,0.1718,1.2706
108,0.135,0.1572,1.288
109,-0.0194,0.1061,1.2563
110,-0.0884,0.0655,1.2802
111,0.1285,0.1042,1.3953
112,-0.1327,0.4841,1.387
113,0.0098,0.1724,1.2656
114,-0.1365,0.0904,1.2011
115,-0.0665,0.2101,1.3115
116,-0.0735,0.1625,1.1843
117,-0.0769,0.1573,1.1646
118,-0.1666,0.0887,1.2005
119,-0.1021,0.2343,1.2741
120,-0.0866,0.0188,1.1321
121,-0.0351,0.0566,1.2823
122,-0.1164,0.2562,1.3238
123,-0.0122,0.1624,1.2597
124,0.0454,0.2886,1.4375
125,0.0393,0.0349,1.3869
126,-0.0938,0.2072,1.359
127,-0.0191,0.1157,1.3272
128,0.0865,0.0302,1.3025
129,0.1684,0.1396,1.401
130,-0.125,0.0881,1.2631
131,0.1137,0.1278,1.4113
132,0.2431,0.2323,1.4791
133,0.1941,0.0883,1.4023
134,0.0262,0.0628,1.3133
135,-0.1021,0.0287,1.1916
136,-0.1512,0.1421,1.3
137,-0.0388,0.1294,1.301
138,-0.0969,0.2621,1.3463
139,0.1536,0.0962,1.37
140,0.0715,0.1303,1.1994
141,0.123,0.2295,1.4307
142,-0.2747,0.3596,1.18
143,-0.1514,0.2391,1.257
144,-0.0192,0.1754,1.2572
145,0.1591,0.1297,1.3608
146,0.1103,0.1902,1.1595
147,-0.128,0.1492,1.1854
148,0.1173,0.2134,1.3147
149,-0.1163,0.1167,1.1727
150,0.0769,0.1114,1.1828
151,-0.0468,0.1667,1.2484
152,0.166,0.0947,1.36
153,-0.1543,0.0962,1.1014
154,-0.2665,0.0586,1.1635
155,0.1672,0.2398,1.2886
156,0.0882,0.121,1.3894
157,-0.0167,0.0547,1.1392
158,-0.0802,0.1583,1.2424
159,0.0836,0.1297,1.3218
160,-0.0746,0.2558,1.2473
161,0.0507,0.086,1.321
162,0.1082,0.0445,1.2683
163,0.1223,0.0907,1.3331
164,0.1764,0.1586,1.4054
165,0.1294,0.1067,1.3827
166,0.0793,0.1128,1.2527
167,0.0673,0.1544,1.447
168,0.0243,0.0949,1.3703
169,0.0158,0.2398,1.3489
170,0.0533,0.2524,1.3056
171,-0.1873,0.3167,1.1287
172,-0.2769,0.2208,1.0016
173,-0.0404,0.1124,1.1855
174,-0.0347,0.314,1.2586
175,0.1218,0.153,1.2078
176,0.0346,0.1706,1.195
177,-0.0395,0.274,1.3009
178,0.1446,0.0657,1.3101
179,0.0583,0.1565,1.1694
180,-0.1129,0.3213,1.0849
181,-0.1099,0.1912,1.1473
182,0.0233,0.1839,1.1645
183,-0.0153,0.1405,1.1567
184,0.0099,0.3683,1.1571
185,-0.0486,0.1076,1.2019
186,0.1266,0.0533,1.4124
187,0.0708,0.099,1.2932
188,-0.1105,0.1245,1.1853
189,-0.0676,0.2692,1.2585
190,-0.1353,0.1746,1.1419
191,-0.0058,0.064,1.3217
192,0.1099,0.0639,1.3706
193,0.1856,0.2606,1.3624
194,-0.0833,0.0973,1.2133
195,0.214,0.0566,1.3727
196,-0.11,0.1321,1.1782
197,-0.08,0.1883,1.1924
198,-0.0029,0.207,1.2505
199,0.0187,0.201,1.2628
200,-0.0766,0.1504,1.2052
201,0.114,0.1211,1.2191
202,-0.1771,0.1901,1.0852
203,-0.0654,0.2546,1.1952
204,0.0451,0.158,1.2117
205,0.0765,0.1247,1.2135
206,-0.1311,0.4607,1.238
207,-0.0683,0.0791,1.0465
208,0.1611,0.2092,1.1385
209,-0.0498,0.2864,1.161
210,0.2088,0.0858,1.2144
211,-0.1527,0.2334,1.0869
212,-0.1013,0.0964,1.1134
213,0.135,0.2128,1.2336
214,-0.193,0.098,1.082
215,0.0535,0.0871,1.1166
216,0.0459,0.2471,1.1788
217,0.0223,0.1804,1.2887
218,-0.0187,0.1141,1.0643
219,-0.0136,0.13,0.9341
220,0.1587,0.1264,1.1442
221,-0.0859,0.2056,1.11
222,-0.2506,0.3626,0.9731
223,-0.1645,0.297,0.9523
224,0.1734,0.2058,0.9856
225,-0.2102,0.2975,0.7105
226,-0.0107,0.1831,0.9125
227,-0.032,0.1869,0.8046
228,0.0498,0.2996,0.903
229,-0.1234,0.2801,0.8193
230,0.0185,0.367,0.9434
231,-0.061,0.3403,0.7881
232,-0.3165,0.3585,0.7136
233,-0.0377,0.1279,0.7189
234,-0.0673,0.1021,0.6143
235,-0.1292,0.1168,0.6216
236,0.0709,0.1854,0.7056
237,0.0131,0.2974,0.7222
238,-0.2002,0.3182,0.6091
239,0.0394,0.2012,0.6786
240,-0.2088,0.1365,0.5597
241,0.061,0.2323,0.5994
242,-0.342,0.2391,0.5909
243,0.0175,0.2587,0.6742
244,-0.1533,0.113,0.5607
245,0.1184,0.2837,0.5846
246,0.0351,0.0901,0.5702
247,0.0794,0.1508,0.6332
248,0.1224,0.1075,0.6037
249,-0.2027,0.1858,0.5973
250,-0.2482,0.3103,0.5789
251,-0.1563,0.2607,0.5769
252,-0.0404,0.1467,0.7188
253,-0.1193,0.2448,0.5819
254,-0.0154,0.2577,0.6467
255,0.1577,0.191,0.6318
256,0.0043,0.1599,0.6307
257,0.0165,0.3664,0.6373
258,-0.1336,0.3376,0.6151
259,0.0105,0.1188,0.5972
260,-0.0743,0.2038,0.5896
261,-0.0095,0.3106,0.6608
262,-0.0003,0.2542,0.5772
263,-0.173,0.3208,0.5153
264,0.0713,0.2413,0.5908
265,0.0794,0.174,0.5903
266,-0.086,0.107,0.6144
267,-0.1939,0.2097,0.6277
268,0.0435,0.1668,0.5905
269,-0.1521,0.1019,0.5701
270,0.1201,0.2447,0.6245
271,-0.0393,0.2473,0.6187
272,0.1198,0.3007,0.6279
273,0.1009,0.3846,0.6434
